title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,pages
Perubahan atas POJK tentang Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-atas-POJK-tentang-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Peraturan OJK,29/POJK.05/2018,10 Desember 2018,Perubahan-atas-POJK-tentang-Investasi-Dana-Pensiun -- pojk 29-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-atas-POJK-tentang-Investasi-Dana-Pensiun/pojk%2029-2018.pdf,ojk-peraturan_ojk-29_pojk_05_2018-10122018-perubahan_atas_pojk_tentang_investasi_dana_pensiun.pdf,19
Perubahan atas POJK tentang Kesehatan Keuangan Perusahaan Asuransi dan Perusahaan Reasuransi dengan Prinsip Syariah,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-atas-POJK-tentang-Kesehatan-Keuangan-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-dengan-Prinsip-Syariah.aspx,IKNB,"IKNB Syariah,  Asuransi",Peraturan OJK,28/POJK.05/2018,10 Desember 2018,Perubahan-atas-POJK-tentang-Kesehatan-Keuangan-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-dengan-Prinsip-Syariah -- pojk 28-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-atas-POJK-tentang-Kesehatan-Keuangan-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-dengan-Prinsip-Syariah/pojk%2028-2018.pdf,ojk-peraturan_ojk-28_pojk_05_2018-10122018-perubahan_atas_pojk_tentang_kesehatan_keuangan_perusahaan_asuransi_dan_perusahaan_reasuransi_dengan_prinsip_syariah.pdf,16
Perubahan atas POJK tentang Kesehatan Keuangan Perusahaan Asuransi dan Perusahaan Reasuransi,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-atas-POJK-tentang-Kesehatan-Keuangan-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi.aspx,IKNB,Asuransi,Peraturan OJK,27/POJK.05/2018,10 Desember 2018,Perubahan-atas-POJK-tentang-Kesehatan-Keuangan-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi -- pojk 27-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-atas-POJK-tentang-Kesehatan-Keuangan-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi/pojk%2027-2018.pdf,ojk-peraturan_ojk-27_pojk_05_2018-10122018-perubahan_atas_pojk_tentang_kesehatan_keuangan_perusahaan_asuransi_dan_perusahaan_reasuransi.pdf,15
Perubahan Kedua POJK tentang Tata Cara Penagihan Sanksi Administratif Berupa Denda di Sektor Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-Kedua-POJK-tentang-Tata-Cara-Penagihan-Sanksi-Administratif-Berupa-Denda-di-Sektor-Jasa-Keuangan.aspx,IKNB,Sanksi,Peraturan OJK,26/POJK.02/2018,10 Desember 2018,Perubahan-Kedua-POJK-tentang-Tata-Cara-Penagihan-Sanksi-Administratif-Berupa-Denda-di-Sektor-Jasa-Keuangan -- pojk 26-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-Kedua-POJK-tentang-Tata-Cara-Penagihan-Sanksi-Administratif-Berupa-Denda-di-Sektor-Jasa-Keuangan/pojk%2026-2018.pdf,ojk-peraturan_ojk-26_pojk_02_2018-10122018-perubahan_kedua_pojk_tentang_tata_cara_penagihan_sanksi_administratif_berupa_denda_di_sektor_jasa_keuangan.pdf,6
Penerapan Tata Kelola bagi Bank Pembiayaan Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/Penerapan-Tata-Kelola-bagi-Bank-Pembiayaan-Rakyat-Syariah.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,24/POJK.03/2018,10 Desember 2018,Penerapan-Tata-Kelola-bagi-Bank-Pembiayaan-Rakyat-Syariah -- pojk 24-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerapan-Tata-Kelola-bagi-Bank-Pembiayaan-Rakyat-Syariah/pojk%2024-2018.pdf,ojk-peraturan_ojk-24_pojk_03_2018-10122018-penerapan_tata_kelola_bagi_bank_pembiayaan_rakyat_syariah.pdf,97
Penerapan Manajemen Risiko bagi Bank Pembiayaan Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/Penerapan-Manajemen-Risiko-bagi-Bank-Pembiayaan-Rakyat-Syariah.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,23/POJK.03/2018,10 Desember 2018,Penerapan-Manajemen-Risiko-bagi-Bank-Pembiayaan-Rakyat-Syariah -- POJK 23 - 2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerapan-Manajemen-Risiko-bagi-Bank-Pembiayaan-Rakyat-Syariah/POJK%2023%20-%202018.pdf,ojk-peraturan_ojk-23_pojk_03_2018-10122018-penerapan_manajemen_risiko_bagi_bank_pembiayaan_rakyat_syariah.pdf,42
Perubahan atas POJK Nomor 3/POJK.02/2014 tentang Tata Cara Pelaksanaan Pungutan oleh Otoritas Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-POJK-Nomor-3-POJK.02-2014-tentang-Tata-Cara-Pelaksanaan-Pungutan-oleh-OJK.aspx,"Perbankan,  Pasar Modal,  IKNB,  Syariah,  EPK",Peraturan Lainnya,Peraturan OJK,22/POJK.02/2018,10 Desember 2018,Perubahan-POJK-Nomor-3-POJK.02-2014-tentang-Tata-Cara-Pelaksanaan-Pungutan-oleh-OJK -- pojk 22-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-POJK-Nomor-3-POJK.02-2014-tentang-Tata-Cara-Pelaksanaan-Pungutan-oleh-OJK/pojk%2022-2018.pdf,ojk-peraturan_ojk-22_pojk_02_2018-10122018-perubahan_atas_pojk_nomor_3_pojk_02_2014_tentang_tata_cara_pelaksanaan_pungutan_oleh_otoritas_jasa_keuangan.pdf,15
Lembaga Pendanaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Lembaga-Pendanaan-Efek.aspx,Pasar Modal,Bursa Efek,Peraturan OJK,25/POJK.04/2018,10 Desember 2018,Lembaga-Pendanaan-Efek -- pojk 25 - 2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Lembaga-Pendanaan-Efek/pojk%2025%20-%202018.pdf,ojk-peraturan_ojk-25_pojk_04_2018-10122018-lembaga_pendanaan_efek.pdf,56
Waktu Penyelesaian Transaksi Bursa,https://www.ojk.go.id/id/regulasi/Pages/Waktu-Penyelesaian-Transaksi-Bursa.aspx,Pasar Modal,Bursa Efek,Peraturan OJK,21/POJK.04/2018,21 November 2018,Waktu-Penyelesaian-Transaksi-Bursa -- pojk 21-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Waktu-Penyelesaian-Transaksi-Bursa/pojk%2021-2018.pdf,ojk-peraturan_ojk-21_pojk_04_2018-21112018-waktu_penyelesaian_transaksi_bursa.pdf,14
Perizinan Wakil Penjamin Emisi Efek dan Wakil Perantara Pedagang Efek,https://www.ojk.go.id/id/regulasi/Pages/Perizinan-Wakil-Penjamin-Emisi-Efek-dan-Wakil-Perantara-Pedagang-Efek.aspx,Pasar Modal,"Perusahaan Efek,  Wakil Perusahaan Efek",Peraturan OJK,20/POJK.04/2018,13 November 2018,Perizinan-Wakil-Penjamin-Emisi-Efek-dan-Wakil-Perantara-Pedagang-Efek -- pojk 20-2018.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perizinan-Wakil-Penjamin-Emisi-Efek-dan-Wakil-Perantara-Pedagang-Efek/pojk%2020-2018.pdf,ojk-peraturan_ojk-20_pojk_04_2018-13112018-perizinan_wakil_penjamin_emisi_efek_dan_wakil_perantara_pedagang_efek.pdf,36
